Date,Station,Survey_Type,Segment,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Habitat_Type
6/12/2025,YRS,Morning,NAPO-03,9:18 AM,10:40 AM,Frog,FG323,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/12/2025,YRS,Morning,NAPO-03,9:18 AM,10:40 AM,Frog,FG324,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/12/2025,YRS,Morning,NAPO-04,9:18 AM,10:40 AM,Frog,FG325,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Varzea
6/12/2025,YRS,Morning,NAPO-04,9:18 AM,10:40 AM,Frog,FG326,Dendrobatidae,Ranitomeya ventrimaculata,Reticulated Poison Frog,Varzea
6/12/2025,YRS,Morning,KINK-01,9:18 AM,10:40 AM,Lizard,LZ69,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,Terrafirme
6/12/2025,YRS,Morning,KINK-01,9:18 AM,10:40 AM,Frog,FG327,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/12/2025,YRS,Morning,KINK-01,9:18 AM,10:40 AM,Frog,FG328,Craugastoridae,Pristimantis martiae,Marty's Rain Frog,Terrafirme
6/12/2025,YRS,Morning,YCHO-02,9:18 AM,10:40 AM,Frog,FG329,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/12/2025,YRS,Night,GAWA-01,8:01 PM,10:53 PM,Frog,FG330,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Varzea
6/12/2025,YRS,Night,GAWA-02,8:01 PM,10:53 PM,Frog,FG331,Leptodactylidae,Engystomops petersi,Painted Forest Toadlet,Terrafirme
6/12/2025,YRS,Night,GAWA-02,8:01 PM,10:53 PM,Frog,FG332,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Varzea
6/12/2025,YRS,Night,GAWA-02,8:01 PM,10:53 PM,Frog,FG333,Leptodactylidae,Adenomera andreae,Cocha Chirping Frog,Varzea
6/12/2025,YRS,Night,GAWA-02,8:01 PM,10:53 PM,Frog,FG334,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Varzea
6/12/2025,YRS,Night,GAWA-03,8:01 PM,10:53 PM,Frog,FG335,Ranidae,Lithobates palmipes,Amazon River Frog,Varzea
6/12/2025,YRS,Night,GAWA-03,8:01 PM,10:53 PM,Frog,FG336,Ranidae,Lithobates palmipes,Amazon River Frog,Varzea
6/12/2025,YRS,Night,GAWA-03,8:01 PM,10:53 PM,Frog,FG337,Hylidae,Boana calcarata,Convict Treefrog,Varzea
6/12/2025,YRS,Night,GAWA-03,8:01 PM,10:53 PM,Frog,FG338,Hylidae,Osteocephalus taurinus,Manaus Spiny-backed Treefrog,Varzea
